STRTNO,SIZE,year,yng,DEPLY,size2,surv
62,0.19,8,0,0,0.0361,0
63,9.62,1,0,1,92.5444,1
63,9.62,2,0,1,92.5444,1
63,9.62,3,0,1,92.5444,1
63,9.62,4,8,1,92.5444,1
63,9.62,5,9,1,92.5444,1
63,9.62,6,0,1,92.5444,0
63,9.62,7,0,1,92.5444,0
63,9.62,8,0,1,92.5444,0
64,6.72,1,10,0,45.1584,0
64,6.72,2,11,0,45.1584,0
64,6.72,3,7,0,45.1584,1
64,6.72,4,0,0,45.1584,1
64,6.72,5,0,0,45.1584,0
64,6.72,6,0,0,45.1584,1
64,6.72,7,0,0,45.1584,0
64,6.72,8,8,0,45.1584,0
65,0,1,0,0,0,0
65,0,2,0,0,0,0
65,0,3,0,0,0,0
65,0,4,11,0,0,0
65,0,5,4,0,0,0
65,0,6,23,0,0,0
65,0,7,12,0,0,0
65,0,8,10,0,0,0
66,9.18,1,0,0,84.2724,0
66,9.18,2,9,0,84.2724,0
66,9.18,3,10,0,84.2724,0
66,9.18,4,11,0,84.2724,1
66,9.18,5,9,0,84.2724,1
66,9.18,6,0,0,84.2724,1
66,9.18,7,0,0,84.2724,0
66,9.18,8,0,0,84.2724,1
67,0,1,0,0,0,0
67,0,2,0,0,0,0
67,0,3,0,0,0,0
67,0,4,0,0,0,0
67,0,5,0,0,0,0
67,0,6,0,0,0,0
67,0,7,0,0,0,0
67,0,8,0,0,0,0
68,0,1,0,0,0,0
68,0,2,10,0,0,0
68,0,3,0,0,0,0
68,0,4,0,0,0,0
68,0,5,0,0,0,0
68,0,6,11,0,0,0
68,0,7,11,0,0,0
68,0,8,0,0,0,0
69,0,1,0,1,0,0
69,0,2,10,1,0,0
69,0,3,0,1,0,0
69,0,4,9,1,0,0
69,0,5,0,1,0,0
69,0,6,11,1,0,0
69,0,7,11,1,0,0
69,0,8,9,1,0,0
70,12.93,1,0,1,167.1849,0
70,12.93,2,8,1,167.1849,1
70,12.93,3,8,1,167.1849,1
70,12.93,4,0,1,167.1849,0
70,12.93,5,0,1,167.1849,0
70,12.93,6,0,1,167.1849,0
70,12.93,7,0,1,167.1849,0
70,12.93,8,0,1,167.1849,1
71,5.88,1,0,1,34.5744,0
71,5.88,2,11,1,34.5744,1
71,5.88,3,11,1,34.5744,0
71,5.88,4,9,1,34.5744,0
71,5.88,5,9,1,34.5744,0
71,5.88,6,11,1,34.5744,1
71,5.88,7,0,1,34.5744,0
71,5.88,8,0,1,34.5744,0
72,0,1,0,1,0,0
72,0,2,9,1,0,1
72,0,3,0,1,0,0
72,0,4,0,1,0,0
72,0,5,0,1,0,0
72,0,6,0,1,0,1
72,0,7,0,1,0,0
72,0,8,0,1,0,0
73,0,1,0,0,0,0
73,0,2,0,0,0,0
73,0,3,11,0,0,0
73,0,4,13,0,0,0
73,0,5,0,0,0,0
73,0,6,10,0,0,0
73,0,7,11,0,0,0
73,0,8,9,0,0,0
74,2.71,1,0,1,7.3441,0
74,2.71,2,11,1,7.3441,0
74,2.71,3,0,1,7.3441,0
74,2.71,4,9,1,7.3441,0
74,2.71,5,11,1,7.3441,0
74,2.71,6,13,1,7.3441,0
74,2.71,7,18,1,7.3441,0
74,2.71,8,0,1,7.3441,0
75,0.22,1,0,1,0.0484,0
75,0.22,2,0,1,0.0484,0
75,0.22,3,0,1,0.0484,0
75,0.22,4,0,1,0.0484,0
75,0.22,5,0,1,0.0484,0
75,0.22,6,0,1,0.0484,0
75,0.22,7,0,1,0.0484,0
75,0.22,8,0,1,0.0484,0
76,0.14,1,0,1,0.0196,0
76,0.14,2,0,1,0.0196,0
76,0.14,3,0,1,0.0196,0
76,0.14,4,0,1,0.0196,0
76,0.14,5,0,1,0.0196,0
76,0.14,6,0,1,0.0196,0
76,0.14,7,0,1,0.0196,0
76,0.14,8,0,1,0.0196,0
77,18.58,1,0,0,345.2164,0
77,18.58,2,0,0,345.2164,0
77,18.58,3,11,0,345.2164,0
77,18.58,4,0,0,345.2164,1
77,18.58,5,0,0,345.2164,0
77,18.58,6,0,0,345.2164,1
77,18.58,7,0,0,345.2164,0
77,18.58,8,0,0,345.2164,0
78,0,1,0,1,0,0
78,0,2,0,1,0,0
78,0,3,0,1,0,0
78,0,4,0,1,0,0
78,0,5,0,1,0,0
78,0,6,0,1,0,0
78,0,7,0,1,0,0
78,0,8,0,1,0,1
79,0,1,0,0,0,0
79,0,2,0,0,0,0
79,0,3,0,0,0,0
79,0,4,0,0,0,0
79,0,5,0,0,0,0
79,0,6,9,0,0,0
79,0,7,10,0,0,0
79,0,8,11,0,0,1
80,0,1,0,1,0,0
80,0,2,0,1,0,0
80,0,3,0,1,0,0
80,0,4,0,1,0,0
80,0,5,0,1,0,0
80,0,6,0,1,0,0
80,0,7,0,1,0,0
80,0,8,0,1,0,0
81,0,1,10,0,0,0
81,0,2,11,0,0,0
81,0,3,0,0,0,0
81,0,4,0,0,0,0
81,0,5,0,0,0,0
81,0,6,0,0,0,0
81,0,7,0,0,0,0
81,0,8,0,0,0,1
82,0,1,11,0,0,0
82,0,2,0,0,0,0
82,0,3,0,0,0,0
82,0,4,0,0,0,0
82,0,5,0,0,0,0
82,0,6,0,0,0,0
82,0,7,0,0,0,0
82,0,8,0,0,0,1
83,0.18,1,9,0,0.0324,0
83,0.18,2,10,0,0.0324,0
83,0.18,3,11,0,0.0324,0
83,0.18,4,12,0,0.0324,0
83,0.18,5,12,0,0.0324,0
83,0.18,6,11,0,0.0324,0
83,0.18,7,0,0,0.0324,0
83,0.18,8,0,0,0.0324,0
84,0,1,0,1,0,0
84,0,2,0,1,0,0
84,0,3,0,1,0,1
84,0,4,8,1,0,0
84,0,5,10,1,0,0
84,0,6,10,1,0,0
84,0,7,8,1,0,0
84,0,8,14,1,0,1
85,2.35,1,0,1,5.5225,0
85,2.35,2,0,1,5.5225,0
85,2.35,3,0,1,5.5225,1
85,2.35,4,0,1,5.5225,1
85,2.35,5,10,1,5.5225,1
85,2.35,6,9,1,5.5225,1
85,2.35,7,11,1,5.5225,0
85,2.35,8,12,1,5.5225,0
86,15.82,1,0,0,250.2724,0
86,15.82,2,11,0,250.2724,1
86,15.82,3,21,0,250.2724,1
86,15.82,4,0,0,250.2724,1
